symbol	entered	entry_ts	exit_ts	entry_price	exit_price	exit_reason	gross_r	net_r	max_profit_pct	max_loss_pct	bars	data_warning
rave_usdt	False					NO_ENTRY	0.0	0.0	0.0	0.0	4033	HISTORICAL_OI_GROWTH_MISSING,CEX_FLOW_DATA_MISSING,HISTORICAL_OI_GROWTH_UNAVAILABLE,CEX_FLOW_SOURCE_UNAVAILABLE
bianrensheng_usdt	False					NO_ENTRY	0.0	0.0	0.0	0.0	4033	CONTRACT_PRIVILEGE_RISK,DERIVATIVES_DATA_MISSING,HISTORICAL_OI_GROWTH_MISSING,CEX_FLOW_DATA_MISSING,DERIVATIVES_MARKET_MISSING,CEX_FLOW_SOURCE_UNAVAILABLE
4_usdt	False					NO_ENTRY	0.0	0.0	0.0	0.0	4033	HISTORICAL_OI_GROWTH_MISSING,CEX_FLOW_DATA_MISSING,HISTORICAL_OI_GROWTH_UNAVAILABLE,CEX_FLOW_SOURCE_UNAVAILABLE
palu_usdt	False					NO_ENTRY	0.0	0.0	0.0	0.0	4033	DERIVATIVES_DATA_MISSING,HISTORICAL_OI_GROWTH_MISSING,CEX_FLOW_DATA_MISSING,DERIVATIVES_MARKET_MISSING,CEX_FLOW_SOURCE_UNAVAILABLE
kefuxiaohe_usdt	False					NO_ENTRY	0.0	0.0	0.0	0.0	4033	DERIVATIVES_DATA_MISSING,HISTORICAL_OI_GROWTH_MISSING,CEX_FLOW_DATA_MISSING,DERIVATIVES_MARKET_MISSING,CEX_FLOW_SOURCE_UNAVAILABLE
xiuxian_usdt	False					NO_ENTRY	0.0	0.0	0.0	0.0	4033	DERIVATIVES_DATA_MISSING,HISTORICAL_OI_GROWTH_MISSING,CEX_FLOW_DATA_MISSING,DERIVATIVES_MARKET_MISSING,CEX_FLOW_SOURCE_UNAVAILABLE
hajimi_usdt	False					NO_ENTRY	0.0	0.0	0.0	0.0	4033	CONTRACT_PRIVILEGE_RISK,DERIVATIVES_DATA_MISSING,HISTORICAL_OI_GROWTH_MISSING,CEX_FLOW_DATA_MISSING,DERIVATIVES_MARKET_MISSING,CEX_FLOW_SOURCE_UNAVAILABLE
broccoli4_usdt	False					NO_ENTRY	0.0	0.0	0.0	0.0	4033	CONTRACT_ADDRESS_MISSING,EVENT_TAG_MISSING,SECURITY_DATA_MISSING,DERIVATIVES_DATA_MISSING,HISTORICAL_OI_GROWTH_MISSING,CEX_FLOW_DATA_MISSING,CONTRACT_ADDRESS_UNAVAILABLE,DERIVATIVES_MARKET_MISSING,CEX_FLOW_SOURCE_UNAVAILABLE
bnbholder_usdt	False					NO_ENTRY	0.0	0.0	0.0	0.0	4033	CONTRACT_ADDRESS_MISSING,SECURITY_DATA_MISSING,DERIVATIVES_DATA_MISSING,HISTORICAL_OI_GROWTH_MISSING,CEX_FLOW_DATA_MISSING,CONTRACT_ADDRESS_UNAVAILABLE,DERIVATIVES_MARKET_MISSING,CEX_FLOW_SOURCE_UNAVAILABLE
ai4_usdt	False					NO_ENTRY	0.0	0.0	0.0	0.0	4033	CONTRACT_ADDRESS_MISSING,EVENT_TAG_MISSING,SECURITY_DATA_MISSING,DERIVATIVES_DATA_MISSING,HISTORICAL_OI_GROWTH_MISSING,CEX_FLOW_DATA_MISSING,CONTRACT_ADDRESS_UNAVAILABLE,DERIVATIVES_MARKET_MISSING,CEX_FLOW_SOURCE_UNAVAILABLE
npcz_usdt	False					NO_ENTRY	0.0	0.0	0.0	0.0	4033	CONTRACT_ADDRESS_MISSING,EVENT_TAG_MISSING,SECURITY_DATA_MISSING,DERIVATIVES_DATA_MISSING,HISTORICAL_OI_GROWTH_MISSING,CEX_FLOW_DATA_MISSING,CONTRACT_ADDRESS_UNAVAILABLE,DERIVATIVES_MARKET_MISSING,CEX_FLOW_SOURCE_UNAVAILABLE
giggle_usdt	False					NO_ENTRY	0.0	0.0	0.0	0.0	4033	HISTORICAL_OI_GROWTH_MISSING,CEX_FLOW_DATA_MISSING,HISTORICAL_OI_GROWTH_UNAVAILABLE,CEX_FLOW_SOURCE_UNAVAILABLE
